name,score,culture,energy,placeness,systems,vernacular,long,lat
Camp Full Monte,15,3,2,3,2,5,18.450432,42.494944
Ivana,12,4,1,2,2,3,18.49946,42.473543
Branka,14,4,2,3,1,4,18.500225,42.473464
Porto Montenegro,15,2,3,3,4,3,18.693727,42.432406
First,20,2,4,4,5,5,18.52494,42.458121
Second,10,3,2,1,2,2,18.528541,42.456416
Third,17,3,3,3,4,4,18.504468,42.454767
Fourth,14,3,1,4,2,4,18.549226,42.449794
Fifth,23,5,4,4,5,5,18.590281,42.437589
Sixth,16,2,3,4,3,4,18.556592,42.42889
Seventh,8,2,1,2,2,1,18.64055,42.451942
Eight,17,4,4,3,3,3,18.64921,42.488188
Ninth,22,5,4,4,5,4,18.674968,42.48364
